Country;Date;Bee_name
Germany;29-6-2022;Ceratina cyanea
Germany;29-6-2022;Halictus subauratus
Germany;29-6-2022;Halictus tumulorum
Germany;29-6-2022;Megachile versicolor
Germany;29-6-2022;Nomada flavoguttata
Germany;29-6-2022;Apis mellifera
Germany;29-6-2022;Apis mellifera
Germany;29-6-2022;Bombus lapidarius
Germany;29-6-2022;Bombus pascuorum
Germany;29-6-2022;Megachile versicolor
Germany;29-6-2022;Apis mellifera
Germany;29-6-2022;Hylaeus nigritus
Germany;26-7-2022;Bombus lapidarius
Germany;26-7-2022;Bombus lapidarius
Germany;26-7-2022;Bombus pascuorum
Germany;26-7-2022;Bombus ruderarius
Germany;14-6-2022;Bombus lapidarius
Germany;14-6-2022;Bombus lapidarius
Germany;14-6-2022;Bombus pascuorum
Germany;14-6-2022;Andrena flavipes
Germany;14-6-2022;Bombus lapidarius
Germany;14-6-2022;Bombus lapidarius
Germany;14-6-2022;Bombus lapidarius
Germany;14-6-2022;Bombus pascuorum
Germany;14-6-2022;Bombus terrestris
Germany;14-6-2022;Lasioglossum pauxillum
Germany;14-6-2022;Andrena alfkenella
Germany;14-6-2022;Bombus pascuorum
Germany;14-6-2022;Megachile versicolor
Germany;18-7-2022;Bombus pascuorum
Germany;18-7-2022;Bombus terrestris
Germany;18-7-2022;Bombus pascuorum
Germany;18-7-2022;Bombus pascuorum
Germany;18-7-2022;Bombus terrestris
Germany;18-7-2022;Bombus lapidarius
Germany;18-7-2022;Halictus simplex
Germany;18-7-2022;Halictus scabiosae
Germany;12-8-2022;Bombus lapidarius
Germany;12-8-2022;Bombus lapidarius
Germany;12-8-2022;Halictus scabiosae
